SITE ID II,SITEID,SITENAME,LONG,LAT,AREA,Sales Area,PRB 1,PRB 2,PRB 3,MAX PRB,EUT 1,EUT 2,EUT 3,MIN EUT
14KDS062MACRO,14KDS062,RSUD_KUDUS_MC,110.835999,-6.81973,CENTRAL JAVA,KUDUS,  62.65 ,  88.76 ,  57.62 ,  88.76 ,  12.84 ,  6.31 ,  16.58 ,  6.31 
14GRO026MACRO,14GRO026,RUKOGRANDCITY_LS,110.915001,-7.08662,CENTRAL JAVA,PATI,  80.26 ,  55.33 ,  58.14 ,  80.26 ,  8.29 ,  19.79 ,  16.37 ,  8.29 
14BRS043MACRO,14BRS043,RUNGKANG_TB,108.808998,-6.91615,CENTRAL JAVA,TEGAL,  54.70 ,  65.53 ,  79.85 ,  79.85 ,  11.74 ,  13.05 ,  7.62 ,  7.62 
14KLT100MACRO,14KLT100,RYCO_BRAMBANG_KLT_PL,110.716728,-7.69214,CENTRAL JAVA,SOLO INNER,  86.07 ,  91.10 ,  90.86 ,  91.10 ,  1.58 ,  1.52 ,  0.96 ,  0.96 
14PML128MACRO,14PML128,SABAR_SUBUR_PML_TB,109.460007,-6.87562,CENTRAL JAVA,TEGAL,  92.15 ,  64.45 ,  84.94 ,  92.15 ,  3.92 ,  13.34 ,  6.49 ,  3.92 
14PKL015MACRO,14PKL015,SABARWANGI_EB,109.545998,-7.06238,CENTRAL JAVA,PEKALONGAN,  99.19 ,  68.28 ,  96.02 ,  99.19 ,  1.92 ,  10.58 ,  1.07 ,  1.07 
14KLT169MACRO,14KLT169,SABRANG_KLT_IB,110.698097,-7.62738,CENTRAL JAVA,SOLO INNER,  83.58 ,  88.28 ,  70.92 ,  88.28 ,  5.71 ,  3.59 ,  6.23 ,  3.59 
14KLT024MACRO,14KLT024,SABRANGLOR,110.653,-7.695667,CENTRAL JAVA,SOLO INNER,  72.62 ,  87.21 ,  86.34 ,  87.21 ,  5.62 ,  2.80 ,  1.12 ,  1.12 
14CLP164MACRO,14CLP164,SABRINA_CLP_MT,109.242729,-7.58433,CENTRAL JAVA,PURWOKERTO,  90.49 ,  64.07 ,  30.31 ,  90.49 ,  3.58 ,  9.45 ,  21.85 ,  3.58 
14KDS114MACRO,14KDS114,SADANG_JEKULO_KDS_MT,110.913094,-6.82853,CENTRAL JAVA,KUDUS,  70.82 ,  97.00 ,  43.50 ,  97.00 ,  11.50 ,  3.46 ,  8.18 ,  3.46 
14KBM031MACRO,14KBM031,SADANG_TB,109.676003,-7.54496,CENTRAL JAVA,BANJARNEGARA,  86.61 ,  67.90 ,  98.13 ,  98.13 ,  7.29 ,  11.66 ,  1.85 ,  1.85 
14SMG163MACRO,14SMG163,SADENG_IT,110.366096,-7.0377,CENTRAL JAVA,SEMARANG INNER,  32.57 ,  69.39 ,  82.59 ,  82.59 ,  16.06 ,  5.44 ,  5.76 ,  5.44 
14MKD129MACRO,14MKD129,SAKINAH_MKD_TB,110.199181,-7.57037,CENTRAL JAVA,MAGELANG,  61.15 ,  62.19 ,  68.06 ,  68.06 ,  10.15 ,  7.05 ,  7.23 ,  7.05 
14MGL045MACRO,14MGL045,SALAKAN_MGL_PL,110.233917,-7.50935,CENTRAL JAVA,MAGELANG,  38.53 ,  18.53 ,  48.95 ,  48.95 ,  16.14 ,  18.33 ,  10.79 ,  10.79 
14KAJ044MACRO,14KAJ044,SALAKBROJO,109.656998,-6.92752,CENTRAL JAVA,PEKALONGAN,  69.91 ,  79.73 ,  88.77 ,  88.77 ,  9.56 ,  7.98 ,  5.34 ,  5.34 
14TMG034MACRO,14TMG034,SALAMSARI,110.162003,-7.277445,CENTRAL JAVA,MAGELANG,  75.44 ,  93.49 ,  89.31 ,  93.49 ,  7.35 ,  3.68 ,  5.54 ,  3.68 
14STG001MACRO,14STG001,SALATIGA,110.497002,-7.31991,CENTRAL JAVA,SEMARANG OUTER,  80.63 ,  99.04 ,  93.40 ,  99.04 ,  6.74 ,  0.77 ,  2.68 ,  0.77 
