site_id,site_name,longitude,latitude,kecamatan,MICRO_CLUSTER,CLUSTER,SALES_AREA,AREA,Population Covered,Revenue,Sec 1 Azimuth,Sec 2 Azimuth,Sec 3 Azimuth
14KAJ0106,PANDANARUMPKL_PL,109.65283,-6.92208,BUARAN,MC-PEKALONGAN KAB,CW-CJA-PEKABATANG,PEKALONGAN,CENTRAL JAVA,  -   ,  -   ,NULL,NULL,NULL
14KAJ0107,BLIGO_TB,109.65339,-6.93321,BUARAN,MC-PEKALONGAN KAB,CW-CJA-PEKABATANG,PEKALONGAN,CENTRAL JAVA,  -   ,  -   ,NULL,NULL,NULL
14KAJ0108,PEKAJANGAN_CM,109.65400,-6.95055,KEDUNGWUNI,MC-PEKALONGAN KAB,CW-CJA-PEKABATANG,PEKALONGAN,CENTRAL JAVA,  -   ,  -   ,NULL,NULL,NULL
14KAJ0109,PAKISPUTIH_KEDUNGWUNI_PL,109.65432,-6.97971,KEDUNGWUNI,MC-PEKALONGAN KAB,CW-CJA-PEKABATANG,PEKALONGAN,CENTRAL JAVA,  -   ,  -   ,NULL,NULL,NULL
14KAJ0111,LEBAKBARANG_TB,109.65700,-7.13171,LEBAKBARANG,MC-PEKALONGAN KAB,CW-CJA-PEKABATANG,PEKALONGAN,CENTRAL JAVA,  -   ,  -   ,NULL,NULL,NULL
14KAJ0112,SALAKBROJO_MT,109.65700,-6.92752,BUARAN,MC-PEKALONGAN KAB,CW-CJA-PEKABATANG,PEKALONGAN,CENTRAL JAVA,  -   ,  -   ,NULL,NULL,NULL
14KAJ0113,SAWANGANDORO_MT,109.65800,-7.02508,DORO,MC-PEKALONGAN KAB,CW-CJA-PEKABATANG,PEKALONGAN,CENTRAL JAVA,  -   ,  -   ,NULL,NULL,NULL
14KAJ0114,KWAYANGAN_KN,109.65900,-6.96298,KEDUNGWUNI,MC-PEKALONGAN KAB,CW-CJA-PEKABATANG,PEKALONGAN,CENTRAL JAVA,  -   ,  -   ,NULL,NULL,NULL
14KAJ0115,PAKISPUTIH_EB,109.66000,-6.98464,KEDUNGWUNI,MC-PEKALONGAN KAB,CW-CJA-PEKABATANG,PEKALONGAN,CENTRAL JAVA,  -   ,  -   ,NULL,NULL,NULL
14KAJ0116,PEKALONGANBRT_EP,109.66000,-6.87390,TIRTO,MC-PEKALONGAN KAB,CW-CJA-PEKABATANG,PEKALONGAN,CENTRAL JAVA,  -   ,  -   ,NULL,NULL,NULL
14KAJ0117,ROWOCACING_MT,109.66100,-6.99756,KEDUNGWUNI,MC-PEKALONGAN KAB,CW-CJA-PEKABATANG,PEKALONGAN,CENTRAL JAVA,  -   ,  -   ,NULL,NULL,NULL
14KAJ0118,SIMBANGKLN_MT,109.66160,-6.92608,BUARAN,MC-PEKALONGAN KAB,CW-CJA-PEKABATANG,PEKALONGAN,CENTRAL JAVA,  -   ,  -   ,NULL,NULL,NULL
14KAJ0119,KARANGDADAP_PL,109.66400,-6.96911,KEDUNGWUNI,MC-PEKALONGAN KAB,CW-CJA-PEKABATANG,PEKALONGAN,CENTRAL JAVA,  -   ,  -   ,NULL,NULL,NULL
14KAJ012,KARANGANYARPKL,109.624,-7.02918,KARANGANYAR,MC-PEKALONGAN KAB,CW-CJA-PEKABATANG,PEKALONGAN,CENTRAL JAVA,"  6,787 ","  166,842,269 ",20,100,270
14KAJ0120,ROGOSELO_TB,109.66400,-7.04849,DORO,MC-PEKALONGAN KAB,CW-CJA-PEKABATANG,PEKALONGAN,CENTRAL JAVA,  -   ,  -   ,NULL,NULL,NULL
14KAJ0121,PAKUMBULM_TB,109.66400,-6.94492,BUARAN,MC-PEKALONGAN KAB,CW-CJA-PEKABATANG,PEKALONGAN,CENTRAL JAVA,  -   ,  -   ,NULL,NULL,NULL
14KAJ0122,SIMBANGWTN_TB,109.66800,-6.93017,BUARAN,MC-PEKALONGAN KAB,CW-CJA-PEKABATANG,PEKALONGAN,CENTRAL JAVA,  -   ,  -   ,NULL,NULL,NULL
14KAJ0125,KEBONSARI_KAJ_PL,109.67776,-6.94866,KARANGDADAP,MC-PEKALONGAN KAB,CW-CJA-PEKABATANG,PEKALONGAN,CENTRAL JAVA,  -   ,  -   ,NULL,NULL,NULL
14KAJ0126,KEBONSARI_TB,109.67762,-6.96554,KARANGDADAP,MC-PEKALONGAN KAB,CW-CJA-PEKABATANG,PEKALONGAN,CENTRAL JAVA,  -   ,  -   ,NULL,NULL,NULL
14KAJ0127,BUTUTAN_MT,109.68064,-6.95440,KARANGDADAP,MC-PEKALONGAN KAB,CW-CJA-PEKABATANG,PEKALONGAN,CENTRAL JAVA,  -   ,  -   ,NULL,NULL,NULL
14KAJ0128,DOROWRINGIN_PL,109.68098,-7.03222,DORO,MC-PEKALONGAN KAB,CW-CJA-PEKABATANG,PEKALONGAN,CENTRAL JAVA,  -   ,  -   ,NULL,NULL,NULL
14KAJ0129,DORO_TB,109.69100,-7.02962,DORO,MC-PEKALONGAN KAB,CW-CJA-PEKABATANG,PEKALONGAN,CENTRAL JAVA,  -   ,  -   ,NULL,NULL,NULL
14KAJ0130,TRANSAN_MT,109.69356,-7.00500,DORO,MC-PEKALONGAN KAB,CW-CJA-PEKABATANG,PEKALONGAN,CENTRAL JAVA,  -   ,  -   ,NULL,NULL,NULL
14KAJ0131,MIRANDA_PL,109.69473,-6.97582,KARANGDADAP,MC-PEKALONGAN KAB,CW-CJA-PEKABATANG,PEKALONGAN,CENTRAL JAVA,  -   ,  -   ,NULL,NULL,NULL
14KAJ0132,KEDUNGKEBO_EP,109.69500,-6.99061,KARANGDADAP,MC-PEKALONGAN KAB,CW-CJA-PEKABATANG,PEKALONGAN,CENTRAL JAVA,  -   ,  -   ,NULL,NULL,NULL
